ensaio_id,razao_molar_eta,C_acid_0_mol_L,C_acid_0_g_L,razao_SL_g_L,massa_solido_g,volume_solucao_L,temperatura_C,agitacao_rpm,tempo_min,tempo_s,X_zn_exp,X_zn_final,X_fe_final,C_acid_final_mol_L,pH_final,X_pbm,delta_X
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,4.0,240.0,0.83,0.85,0.07,0.23,0.6,0.9875953484916702,-0.15759534849167023
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,5.0,300.0,0.84,0.85,0.07,0.23,0.6,0.9900591483937051,-0.15005914839370516
10,1.0,1.5,147.12,150.0,60.0,0.4,40.0,1000.0,15.0,900.0,0.85,0.85,0.07,0.23,0.6,0.9966757697115415,-0.1466757697115415
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,0.0,0.0,0.0,0.98,0.07,0.04,1.5,0.0,0.0
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,0.5,30.0,0.86,0.98,0.07,0.04,1.5,0.4216079324982057,0.43839206750179427
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,1.0,60.0,0.85,0.98,0.07,0.04,1.5,0.6210413108097969,0.22895868919020312
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,2.0,120.0,0.88,0.98,0.07,0.04,1.5,0.8073183695668699,0.07268163043313014
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,3.0,180.0,0.97,0.98,0.07,0.04,1.5,0.8908301190777761,0.07916988092222388
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,4.0,240.0,0.94,0.98,0.07,0.04,1.5,0.9348177219526965,0.0051822780473034236
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,5.0,300.0,0.96,0.98,0.07,0.04,1.5,0.9599540258652326,4.597413476736811e-05
11,1.5,0.1,9.81,7.0,2.7,0.4,40.0,1000.0,15.0,900.0,0.98,0.98,0.07,0.04,1.5,0.9995671777411111,-0.019567177741111164
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,0.0,0.0,0.0,1.0,0.09,0.64,0.2,0.0,0.0
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,0.5,30.0,0.96,1.0,0.09,0.64,0.2,0.9922612642287525,-0.03226126422875253
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,1.0,60.0,1.0,1.0,0.09,0.64,0.2,0.9999178027211855,8.219727881453309e-05
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,2.0,120.0,1.0,1.0,0.09,0.64,0.2,0.9999999915757166,8.424283381991415e-09
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,3.0,180.0,0.99,1.0,0.09,0.64,0.2,0.9999999999992099,-0.009999999999209863
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,4.0,240.0,0.99,1.0,0.09,0.64,0.2,0.9999999999999999,-0.009999999999999898
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,5.0,300.0,0.99,1.0,0.09,0.64,0.2,1.0,-0.010000000000000009
12,3.1,1.0,98.08,33.0,13.3,0.4,40.0,1000.0,15.0,900.0,1.0,1.0,0.09,0.64,0.2,1.0,0.0
