ensaio_id,razao_molar_eta,C_acid_0_mol_L,C_acid_0_g_L,razao_SL_g_L,massa_solido_g,volume_solucao_L,temperatura_C,agitacao_rpm,tempo_min,tempo_s,X_zn_exp,X_zn_final,X_fe_final,C_acid_final_mol_L,pH_final,X_pbm,C_acid_pbm_mol_L,delta_X
4,0.5,1.0,98.08,200.0,80.0,0.4,40.0,1000.0,4.0,240.0,0.53,0.5,0.0,5e-06,5.3,0.5000000731048431,0.0,0.02999992689515696
4,0.5,1.0,98.08,200.0,80.0,0.4,40.0,1000.0,5.0,300.0,0.51,0.5,0.0,5e-06,5.3,0.5000000731048431,0.0,0.009999926895156941
4,0.5,1.0,98.08,200.0,80.0,0.4,40.0,1000.0,15.0,900.0,0.5,0.5,0.0,5e-06,5.3,0.5000000731048431,0.0,-7.310484306799481e-08
5,0.5,1.5,147.12,300.0,120.0,0.4,40.0,1000.0,0.0,0.0,0.0,0.49,0.0,4.9e-06,5.0,0.0,1.5,0.0
5,0.5,1.5,147.12,300.0,120.0,0.4,40.0,1000.0,0.5,30.0,0.49,0.49,0.0,4.9e-06,5.0,0.49997357730951075,7.926807146774184e-05,-0.009973577309510762
5,0.5,1.5,147.12,300.0,120.0,0.4,40.0,1000.0,1.0,60.0,0.49,0.49,0.0,4.9e-06,5.0,0.5000002082880433,0.0,-0.010000208288043266
5,0.5,1.5,147.12,300.0,120.0,0.4,40.0,1000.0,2.0,120.0,0.47,0.49,0.0,4.9e-06,5.0,0.5000002339884265,0.0,-0.03000023398842655
5,0.5,1.5,147.12,300.0,120.0,0.4,40.0,1000.0,3.0,180.0,0.49,0.49,0.0,4.9e-06,5.0,0.5000002339884265,0.0,-0.010000233988426532
5,0.5,1.5,147.12,300.0,120.0,0.4,40.0,1000.0,4.0,240.0,0.49,0.49,0.0,4.9e-06,5.0,0.5000002339884265,0.0,-0.010000233988426532
5,0.5,1.5,147.12,300.0,120.0,0.4,40.0,1000.0,5.0,300.0,0.47,0.49,0.0,4.9e-06,5.0,0.5000002339884265,0.0,-0.03000023398842655
5,0.5,1.5,147.12,300.0,120.0,0.4,40.0,1000.0,15.0,900.0,0.49,0.49,0.0,4.9e-06,5.0,0.5000002339884265,0.0,-0.010000233988426532
6,1.0,0.1,9.81,10.0,4.0,0.4,40.0,1000.0,0.0,0.0,0.0,0.87,0.06,0.008,2.0,0.0,0.1,0.0
6,1.0,0.1,9.81,10.0,4.0,0.4,40.0,1000.0,0.5,30.0,0.75,0.87,0.06,0.008,2.0,0.39483825390861027,0.060516174609138974,0.35516174609138973
6,1.0,0.1,9.81,10.0,4.0,0.4,40.0,1000.0,1.0,60.0,0.78,0.87,0.06,0.008,2.0,0.5665451255746131,0.04334548744253869,0.2134548744253869
